English,Spanish
ABIDE,Morar - Habitar - Tolerar
ABSORB,Absorber
ADD,Añadir
ADVANCE,Avanzar
AGREE,Acordar - Estar De Acuerdo - Acceder
ANSWER,Contestar - Responder
APPEAR,Aparecer
ARISE,Sugir - Levantarse
ARRIVE,Llegar
ASK,Preguntar
ASSIGN,Asignar
ASSIST,Asistir
ATTACH,Unir - Juntar - Sujetar - Pegar
ATTEND,Atender
AWAKE,Despertar(Se)
AWARD,Otorgar
BAKE,Hornear
BATHE,Bañar
BE,Ser-Estar
BEAR,Nacer
BEAT,Vencer - Batir
BECOME,Llegar A Ser - Ponerse - Volverse
BEFALL,Suceder - Acontecer - Ocurrir
BEGIN,Comenzar - Empezar
BEHOLD,Contemplar - Mirar
BELIEVE,Creer
BELONG,Pertenecer
BEND,Doblar(Se) - Encorvar(Se)
BET,Apostar
BID,Mandar - Ordenar
BIND,Unir - Ligar - Atar - Amarrar
BITE,Morder - Picar
BLEED,Sangrar
BLOW,Soplar - Ventear
BLUSH,Sonrojar
BOIL,Hervir
BORROW,Pedir prestado
BOTHER,Molestar
BREAK,Quebrar - Romper
BREED,Criar - Educar
BRING,Traer - Llevar
BROADCAST,Difundir - Emitir
BROIL,Asar
BROWN,Tostar
BRUSH,Cepillar
BUILD,Construir - Fundar - Edificar
BURN,Quemar - Incendiar
BURST,Estallar - Reventar
BUY,Comprar - Adquirir
CALL,Llamar
CALM,Calmar
CAMP,Acampar
CANCEL,Cancelar
CARE,Preocupar(So)Cuidar
CARRY,Llevar
CAST,Moldear - Repartir - Echar - Tirar
CATCH,Coger - Tomar - Agarrar
CELEBRATE,Celebrar
CHANGE,Cambiar
CHARGE,Cargar
CHEAT,Engañar
CHECK,Comprobar - Chequear - Verificar
CHEER,Victorear - Alegrar - Animar - Aplaudir
CHEW,Masticar
CHILL,Resfriar
CHOOSE,Escoger - Elegir - Optar
CIRCLE,Rodear - Hacer Un Circulo
CLAP,Aplaudir
CLEAN,Limpiar
CLIMB,Subir
CLING,Agarrar - Aferrarse - Adherirse
CLOSE,Cerrar
CLOTHE,Vestir - Arropar
COLLECT,Coleccionar
COME,Venir
COMMENT,Comentar
COMPLAIN,Quejarse
COMPLETE,Completar
CONTINUE,Continuar
CONVINCE,Convencer
COOK,Cocinar
COOL,Enfriar - Refrescar(Se) - Calmar(Se)
COPY,Copiar
COST,Costar
COUNT,Contar
COVER,Cubrir
CREEP,Arrastrarse - Deslizarse - Gatear
CROSS,Cruzar - Atravesar
CRY,Llorar - Gritar
CUT,Cortar - Recortar
DANCE,Bailar
DEAL,Negociar - Comerciar
DECIDE,Decidir
DECLARE,Declarar
DECORATE,Decorar
DEFEND,Defender
DEMOSTRATE,Demostrar
DEPEND,Depender
DESCEND,Descender - Bajar
DESCRIBE,Describir
DESTROY,Destruir
DICTATE,Dictar
DIE,Morir
DIG,Cavar - Excavar
DISAGREE,Discrepar - No Estar De Acuerdo
DISCOVER,Descubrir
DISCUSS,Discutir
DIVIDE,Dividir
DO,Hacer
DRAIN,Agotar
DRAW,Dibujar - Trazar
DREAM,Soñar
DRESS,Vestir
DRINK,Beber - Tomar
DRIVE,Manejar - Conducir
DROP,Bajar - Soltar
DUST,Desempolvar
DWELL,Residir - Morar - Habitar
EAT,Comer
EMPTY,Vaciar
END,Terminar
ENJOY,Gozar(De) - Disfrutar
ENROLL,Matricular
ENTER,Entrar
ERASE,Borrar
EXCUSE,Excusar
EXERCISE,Ejercitar(Se)
EXPECT,Esperar
EXPLAIN,Explicar
FADE,Desteñir - Desvanecer(se)
